market,date,ticker,name,sector,close,signal_close,ma120,above_ma_%,volume,avg_vol_5d,vol_ratio,last_close,last_signal_close,last_above_ma_%,return_since_%,bars_since,price_basis,rs_rating,rs_weighted_score_%,rs_12m_return_%,rs_latest_3m_%,rs_months_4_6_%,rs_months_7_9_%,rs_months_10_12_%,rs_as_of,rs_universe,rs_universe_size,rs_price_basis,per,forward_per,eps,fundamentals_as_of,quote_price,quote_as_of,quote_return_since_%
kosdaq150,2026-09-23,357780,솔브레인,Basic Materials,370000.0,370000.0,361212.0,2.43,58240,14550,4.0,370000.0,370000.0,2.43,0.0,0,adj,60,9.8,31.29,10.28,-15.31,50.09,-6.35,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,14.13,,2026-09-25 21:52 KST,370000.0,2026-09-23T15:30:28+09:00,0.0
kosdaq150,2026-09-22,420770,기가비스,Technology,119500.0,119500.0,119389.0,0.09,376016,183570,2.05,123100.0,123100.0,2.75,3.01,1,adj,92,38.85,228.64,-21.74,122.18,135.2,-19.64,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,18.73,,2026-09-25 21:52 KST,123100.0,2026-09-23T15:30:26+09:00,3.01
kosdaq150,2026-09-21,041190,우리기술투자,Financial Services,5860.0,5860.0,5591.0,4.81,14000922,1802468,7.77,6060.0,6060.0,8.47,3.41,2,adj,21,-4.05,-44.04,24.82,-23.06,-17.19,-29.64,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,,,2026-09-25 21:52 KST,6060.0,2026-09-23T15:30:20+09:00,3.41
kosdaq150,2026-09-21,036810,에프에스티,Technology,30200.0,30200.0,30083.0,0.39,345487,73724,4.69,31200.0,31200.0,4.11,3.31,2,adj,47,4.78,-4.07,17.96,-33.12,18.36,2.74,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,38.85,,2026-09-25 21:52 KST,31200.0,2026-09-23T15:30:12+09:00,3.31
kosdaq150,2026-09-21,067310,하나마이크론,,44800.0,44800.0,38958.0,15.0,6513845,1399760,4.65,46200.0,46200.0,17.71,3.12,2,adj,77,18.38,127.1,-6.95,52.07,33.64,20.1,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,,,2026-09-25 21:52 KST,46200.0,2026-09-23T15:30:10+09:00,3.12
kosdaq150,2026-09-21,253590,네오셈,Technology,13020.0,13020.0,12945.0,0.58,1474404,393562,3.75,13680.0,13680.0,5.89,5.07,2,adj,74,16.29,37.54,17.12,-33.82,85.19,-4.18,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,,,2026-09-25 21:52 KST,13680.0,2026-09-23T15:30:23+09:00,5.07
kosdaq150,2026-09-18,125490,한라캐스트,Industrials,12050.0,12050.0,11863.0,1.57,8575783,1323371,6.48,12110.0,12110.0,2.52,0.5,3,adj,80,21.66,39.84,31.2,-40.91,-6.86,93.65,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,35.5,,2026-09-25 21:52 KST,12110.0,2026-09-23T15:30:10+09:00,0.5
kosdaq150,2026-09-18,183300,코미코,Technology,30850.0,30850.0,29790.0,3.56,1434054,310879,4.61,31800.0,31800.0,5.82,3.08,3,adj,62,10.97,60.46,-16.58,72.73,28.8,-13.55,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,20.81,,2026-09-25 21:52 KST,31800.0,2026-09-23T15:30:15+09:00,3.08
kosdaq150,2026-09-15,056190,SFA,Industrials,28800.0,28800.0,25439.0,13.21,507274,77932,6.51,28000.0,28000.0,9.9,-2.78,6,adj,56,7.81,15.52,20.14,-14.9,17.65,-3.96,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,7.75,,2026-09-25 21:52 KST,28000.0,2026-09-23T15:30:29+09:00,-2.78
kosdaq150,2026-09-15,030530,원익홀딩스,Industrials,25050.0,25050.0,24289.0,3.13,9961088,2301379,4.33,28300.0,28300.0,17.4,12.97,6,adj,92,38.71,122.83,28.93,-29.87,-10.83,176.38,2026-09-23,KOSPI + KOSDAQ 150,367,adj,,,,2026-09-25 21:52 KST,28300.0,2026-09-23T15:30:04+09:00,12.97
