market,date,target_month,last_trading_date,ticker,name,sector,close,signal_close,ma10,above_ma_%,volume,previous_month_volume,avg_volume_3m,vol_ratio,volume_window_start,volume_window_end,prior_below_start,prior_below_end,prior_below_months,last_close,last_signal_close,last_above_ma_%,return_since_%,bars_since,latest_date,latest_close,latest_signal_close,price_basis,rs_rating,rs_weighted_score_%,rs_12m_return_%,rs_latest_3m_%,rs_months_4_6_%,rs_months_7_9_%,rs_months_10_12_%,rs_as_of,rs_universe,rs_universe_size,rs_price_basis,per,forward_per,eps,fundamentals_as_of,quote_price,quote_as_of,quote_return_since_%
kosdaq150,2026-08-31,2026-08,2026-08-31,257720,실리콘투,Consumer Defensive,54200.0,54200.0,41757.3316,29.8,39895686,13385271,13404269.3333,2.98,2026-05,2026-07,2026-02,2026-07,6,54200.0,54200.0,29.8,-26.57,0,2026-09-22,39800.0,39800.0,adj,37,0.57,-13.26,14.7,-9.15,-5.52,-11.89,2026-09-22,KOSPI + KOSDAQ 150,367,adj,,8.89,,2026-09-23 08:54 KST,39800.0,2026-09-22T15:30:26+09:00,-26.57
kosdaq150,2026-08-31,2026-08,2026-08-31,251970,펌텍코리아,Consumer Cyclical,59000.0,59000.0,48993.2305,20.42,2158029,1858669,1176889.0,1.83,2026-05,2026-07,2026-02,2026-07,6,59000.0,59000.0,20.42,-2.71,0,2026-09-22,57400.0,57400.0,adj,75,16.03,-8.41,66.86,-27.04,-12.27,-14.24,2026-09-22,KOSPI + KOSDAQ 150,367,adj,,12.68,,2026-09-23 08:54 KST,57400.0,2026-09-22T15:30:30+09:00,-2.71
kosdaq150,2026-08-31,2026-08,2026-08-31,214450,파마리서치,Healthcare,426000.0,426000.0,372640.5563,14.32,3852469,4585754,3200072.6667,1.2,2026-05,2026-07,2026-02,2026-07,6,426000.0,426000.0,14.32,-23.94,0,2026-09-22,324000.0,324000.0,adj,15,-8.2,-46.27,10.39,-9.69,-17.01,-35.06,2026-09-22,KOSPI + KOSDAQ 150,367,adj,,13.68,,2026-09-23 08:54 KST,324000.0,2026-09-22T15:30:27+09:00,-23.94
kosdaq150,2026-08-31,2026-08,2026-08-31,078340,컴투스,Communication Services,34500.0,34500.0,30865.265,11.78,2825274,970116,1192046.3333,2.37,2026-05,2026-07,2026-02,2026-07,6,34500.0,34500.0,11.78,1.45,0,2026-09-22,35000.0,35000.0,adj,63,10.43,-5.72,44.03,-21.68,9.31,-23.54,2026-09-22,KOSPI + KOSDAQ 150,367,adj,,10.05,,2026-09-23 08:54 KST,35000.0,2026-09-22T15:30:30+09:00,1.45
kospi,2026-08-31,2026-08,2026-08-31,003350,한국화장품제조,기타 화학제품 제조업,14970.0,14970.0,9933.622,50.7,44315377,2455016,2879734.0,15.39,2026-05,2026-07,2026-02,2026-07,6,14970.0,14970.0,50.7,0.6,0,2026-09-22,15060.0,15060.0,adj,89,29.71,25.85,94.32,-15.94,-6.86,-17.28,2026-09-22,KOSPI + KOSDAQ 150,367,adj,,,,2026-09-23 08:54 KST,15060.0,2026-09-22T15:30:18+09:00,0.6
sp500,2026-08-31,2026-08,2026-08-31,CRM,Salesforce,Information Technology,257.54,257.0877,204.4623,25.74,328366000,280039400,313121766.6667,1.05,2026-05,2026-07,2026-02,2026-07,6,257.54,257.0877,25.74,-9.42,0,2026-09-22,233.28,233.28,adj,89,13.71,-5.78,55.67,-22.77,-26.17,6.15,2026-09-22,S&P 500,500,adj,21.36,14.58,10.92,2026-09-23 08:54 KST,233.28,2026-09-22T16:00:03-04:00,-9.42
sp500,2026-08-31,2026-08,2026-08-31,PLTR,Palantir Technologies,Information Technology,186.38,186.38,149.802,24.42,967766400,800467200,865350100.0,1.12,2026-05,2026-07,2026-02,2026-07,6,186.38,186.38,24.42,-0.75,0,2026-09-22,184.99,184.99,adj,91,14.95,3.16,54.8,-20.69,-22.32,8.17,2026-09-22,S&P 500,500,adj,158.11,79.63,1.17,2026-09-23 08:54 KST,184.99,2026-09-22T16:00:00-04:00,-0.75
sp500,2026-08-31,2026-08,2026-08-31,RMD,ResMed|,Health Care,240.1,240.1,227.4215,5.57,33354900,30521300,32122666.6667,1.04,2026-05,2026-07,2026-02,2026-07,6,240.1,240.1,5.57,-7.55,0,2026-09-22,221.97,221.97,adj,36,0.36,-18.25,18.13,-16.36,-8.17,-9.9,2026-09-22,S&P 500,500,adj,21.3,16.78,10.42,2026-09-23 08:54 KST,221.97,2026-09-22T16:00:03-04:00,-7.55
sp500,2026-08-31,2026-08,2026-08-31,KKR,KKR & Co.,Financials,109.72,109.72,104.3734,5.12,98578500,82401600,94860166.6667,1.04,2026-05,2026-07,2026-02,2026-07,6,109.72,109.72,5.12,-10.28,0,2026-09-22,98.44,98.44,adj,10,-6.08,-32.53,1.78,7.88,-31.39,-10.43,2026-09-22,S&P 500,500,adj,31.45,13.29,3.13,2026-09-23 08:54 KST,98.44,2026-09-22T16:00:03-04:00,-10.28
sp500,2026-08-31,2026-08,2026-08-31,TYL,Tyler Technologies,Information Technology,372.22,372.22,361.861,2.86,20064500,17691600,18085866.6667,1.11,2026-05,2026-07,2026-02,2026-07,6,372.22,372.22,2.86,-11.06,0,2026-09-22,331.05,331.05,adj,16,-3.77,-38.26,20.26,-21.4,-24.68,-13.28,2026-09-22,S&P 500,500,adj,43.5,21.56,7.61,2026-09-23 08:54 KST,331.05,2026-09-22T16:00:02-04:00,-11.06
sp500,2026-08-31,2026-08,2026-08-31,ERIE,Erie Indemnity,Financials,255.56,255.56,253.2629,0.91,6780200,6685900,5109866.6667,1.33,2026-05,2026-07,2026-02,2026-07,6,255.56,255.56,0.91,-8.29,0,2026-09-22,234.38,234.38,adj,19,-2.95,-25.44,11.37,-11.44,-15.56,-10.48,2026-09-22,S&P 500,500,adj,21.27,16.73,11.02,2026-09-23 08:54 KST,234.38,2026-09-22T16:00:00-04:00,-8.29
